Time (ms),Distance (mm),Velocity (mm/s)
22430.0,0,999.0,0.0
22450.0,100,1186.0,9350.0
22500.0,100,1175.0,-220.0
22551.0,100,1275.0,1960.784
22601.0,100,1228.0,-940.0
22683.0,100,1243.0,182.926
22881.0,100,1012.0,-1166.666
22992.0,100,1298.0,2576.576
23025.0,100,1494.0,5939.394
23082.0,100,1440.0,-947.368
23138.0,100,1643.0,3625.0
23176.0,100,1488.0,-4078.947
23209.0,100,1510.0,666.666
23468.0,100,1370.0,-540.54
23522.0,100,1498.0,2370.37
23539.0,100,1322.0,-10352.94
23553.0,100,1531.0,14928.571
23631.0,100,1604.0,935.897
23663.0,100,1587.0,-531.25
23701.0,100,1588.0,26.315
23732.0,100,1447.0,-4548.387
23768.0,100,1339.0,-3000.0
23858.0,100,1424.0,944.444
23915.0,100,1436.0,210.526
23973.0,100,1455.0,327.586
23986.0,100,1468.0,1000.0
24014.0,100,1417.0,-1821.428
24093.0,100,1320.0,-1227.848
24119.0,100,1297.0,-884.615
24552.0,100,973.0,-748.267
24798.0,100,725.0,-1008.13
25023.0,100,457.0,-1191.111
25142.0,100,309.0,-1243.697
25194.0,100,260.0,-942.307
25306.0,100,113.0,-1312.5
25331.0,100,71.0,-1680.0
25408.0,100,0.0,-922.077
25481.0,100,0.0,0.0
25576.0,100,0.0,0.0
25669.0,100,0.0,0.0
25795.0,100,0.0,0.0
26201.0,100,135.0,332.512
26302.0,100,115.0,-198.019
26395.0,100,114.0,-10.752
26535.0,100,123.0,64.285
26735.0,100,122.0,-5.0
26813.0,100,123.0,12.82
26840.0,100,119.0,-148.148
26962.0,100,124.0,40.983
27007.0,100,122.0,-44.444
27103.0,100,117.0,-52.083
27348.0,100,127.0,40.816
27378.0,100,122.0,-166.666
27434.0,100,118.0,-71.428
27482.0,100,133.0,312.5
27508.0,100,119.0,-538.461
27577.0,100,118.0,-14.492
27624.0,100,120.0,42.553
27650.0,100,131.0,423.076
27702.0,100,136.0,96.153
27881.0,100,122.0,-78.212
28005.0,100,132.0,80.645
28083.0,100,131.0,-12.82
28134.0,100,123.0,-156.862
28159.0,100,135.0,480.0
28206.0,100,117.0,-382.978
28387.0,100,124.0,38.674
28591.0,100,123.0,-4.901
28659.0,100,126.0,44.117
28686.0,100,131.0,185.185
28788.0,100,123.0,-78.431
28918.0,100,127.0,30.769
29019.0,100,129.0,19.801
29136.0,100,128.0,-8.547
29254.0,100,125.0,-25.423
29313.0,100,134.0,152.542
29425.0,100,122.0,-107.142
29607.0,100,125.0,16.483
29656.0,100,120.0,-102.04
30019.0,100,129.0,24.793
30070.0,100,118.0,-215.686
30115.0,100,120.0,44.444
30268.0,100,124.0,26.143
